CID,country,GDP
1,Liechtenstein,"$139,100 "
2,Qatar,"$124,900 "
3,Monaco,"$115,700 "
4,Macau,"$114,400 "
5,Luxembourg,"$109,100 "
6,Falkland Islands (Islas Malvinas),"$96,200 "
7,Singapore,"$90,500 "
8,Bermuda,"$85,700 "
9,Isle of Man,"$84,600 "
10,Brunei,"$76,700 "
11,Ireland,"$72,600 "
12,Norway,"$70,600 "
13,Kuwait,"$69,700 "
14,United Arab Emirates,"$68,200 "
15,Sint Maarten,"$66,800 "
16,Gibraltar,"$61,700 "
17,Switzerland,"$61,400 "
18,Hong Kong,"$61,000 "
19,San Marino,"$59,500 "
20,United States,"$59,500 "
21,Saudi Arabia,"$55,300 "
22,Netherlands,"$53,600 "
23,Guernsey,"$52,500 "
24,Iceland,"$52,100 "
25,Bahrain,"$51,800 "
26,Sweden,"$51,300 "
27,Germany,"$50,200 "
28,Australia,"$49,900 "
29,Andorra,"$49,900 "
30,Taiwan,"$49,800 "
31,Denmark,"$49,600 "
32,Jersey,"$49,500 "
33,Austria,"$49,200 "
34,Canada,"$48,100 "
35,Belgium,"$46,300 "
36,Oman,"$45,500 "
37,Finland,"$44,000 "
38,Cayman Islands,"$43,800 "
39,France,"$43,600 "
40,United Kingdom,"$43,600 "
41,Japan,"$42,700 "
42,Malta,"$42,500 "
43,British Virgin Islands,"$42,300 "
44,Faroe Islands,"$40,000 "
45,"Korea, South","$39,400 "
46,European Union,"$39,200 "
47,New Zealand,"$38,500 "
48,Spain,"$38,200 "
49,Italy,"$38,000 "
50,Puerto Rico,"$37,900 "
51,Greenland,"$37,600 "
52,Cyprus,"$36,600 "
53,Israel,"$36,200 "
54,Virgin Islands,"$36,100 "
55,Czechia,"$35,200 "
56,Equatorial Guinea,"$34,900 "
57,Saint Pierre and Miquelon,"$34,900 "
58,Slovenia,"$34,100 "
59,Slovakia,"$32,900 "
60,Lithuania,"$31,900 "
61,Estonia,"$31,500 "
62,Trinidad and Tobago,"$31,200 "
63,New Caledonia,"$31,100 "
64,Guam,"$30,500 "
65,Portugal,"$30,300 "
66,Poland,"$29,300 "
67,Turks and Caicos Islands,"$29,100 "
68,Seychelles,"$28,900 "
69,Hungary,"$28,900 "
70,Malaysia,"$28,900 "
71,Russia,"$27,900 "
72,Greece,"$27,800 "
73,Latvia,"$27,300 "
74,Saint Kitts and Nevis,"$26,800 "
75,Turkey,"$26,500 "
76,Antigua and Barbuda,"$26,300 "
77,Kazakhstan,"$26,100 "
78,Aruba,"$25,300 "
79,"Bahamas, The","$25,100 "
80,Chile,"$24,600 "
81,Panama,"$24,300 "
82,Croatia,"$24,100 "
83,Romania,"$24,000 "
84,Uruguay,"$22,400 "
85,Bulgaria,"$21,600 "
86,Mauritius,"$21,600 "
87,Argentina,"$20,700 "
88,Iran,"$20,000 "
89,Mexico,"$19,500 "
90,Lebanon,"$19,500 "
91,Gabon,"$19,300 "
92,Saint Martin,"$19,300 "
93,Maldives,"$19,200 "
94,Turkmenistan,"$18,700 "
95,Belarus,"$18,600 "
96,Botswana,"$18,100 "
97,Thailand,"$17,800 "
98,Barbados,"$17,500 "
99,Azerbaijan,"$17,400 "
100,Montenegro,"$17,400 "
101,Costa Rica,"$17,200 "
102,Iraq,"$17,000 "
103,French Polynesia,"$17,000 "
104,Dominican Republic,"$17,000 "
105,Palau,"$16,700 "
106,China,"$16,600 "
107,Brazil,"$15,500 "
108,Serbia,"$15,200 "
109,Macedonia,"$15,200 "
110,Algeria,"$15,100 "
111,Curacao,"$15,000 "
112,Grenada,"$14,700 "
113,Colombia,"$14,500 "
114,Suriname,"$13,900 "
115,Saint Lucia,"$13,500 "
116,South Africa,"$13,400 "
117,Northern Mariana Islands,"$13,300 "
118,Peru,"$13,300 "
119,Egypt,"$13,000 "
120,American Samoa,"$13,000 "
121,Sri Lanka,"$13,000 "
122,Mongolia,"$12,600 "
123,Jordan,"$12,500 "
124,Albania,"$12,500 "
125,Indonesia,"$12,400 "
126,Venezuela,"$12,400 "
127,Cook Islands,"$12,300 "
128,Nauru,"$12,200 "
129,Anguilla,"$12,200 "
130,Dominica,"$12,000 "
131,Tunisia,"$12,000 "
132,Cuba,"$11,900 "
133,Saint Vincent and the Grenadines,"$11,600 "
134,Namibia,"$11,500 "
135,Bosnia and Herzegovina,"$11,400 "
136,Ecuador,"$11,200 "
137,Georgia,"$10,600 "
138,Kosovo,"$10,400 "
139,Fiji,"$9,900 "
140,Swaziland,"$9,900 "
141,Paraguay,"$9,800 "
142,Libya,"$9,800 "
143,Jamaica,"$9,200 "
144,Armenia,"$9,100 "
145,El Salvador,"$8,900 "
146,Ukraine,"$8,700 "
147,Bhutan,"$8,700 "
148,Morocco,"$8,600 "
149,Montserrat,"$8,500 "
150,Guyana,"$8,300 "
151,Belize,"$8,300 "
152,Guatemala,"$8,200 "
153,Philippines,"$8,200 "
154,"Saint Helena, Ascension, and Tristan da Cunha","$7,800 "
155,Bolivia,"$7,500 "
156,Laos,"$7,400 "
157,India,"$7,200 "
158,Uzbekistan,"$7,000 "
159,Vietnam,"$6,900 "
160,Cabo Verde,"$6,900 "
161,Angola,"$6,800 "
162,"Congo, Republic of the","$6,700 "
163,Burma,"$6,300 "
164,Nigeria,"$5,900 "
165,Nicaragua,"$5,800 "
166,Niue,"$5,800 "
167,Moldova,"$5,700 "
168,Samoa,"$5,700 "
169,Tonga,"$5,600 "
170,Honduras,"$5,500 "
171,Pakistan,"$5,400 "
172,Timor-Leste,"$5,000 "
173,Ghana,"$4,600 "
174,Sudan,"$4,600 "
175,Mauritania,"$4,500 "
176,West Bank,"$4,300 "
177,Bangladesh,"$4,200 "
178,Cambodia,"$4,000 "
179,Zambia,"$4,000 "
180,Lesotho,"$3,900 "
181,Cote d'Ivoire,"$3,900 "
182,Tuvalu,"$3,800 "
183,Papua New Guinea,"$3,800 "
184,Wallis and Futuna,"$3,800 "
185,Kyrgyzstan,"$3,700 "
186,Djibouti,"$3,600 "
187,Kenya,"$3,500 "
188,Cameroon,"$3,400 "
189,Marshall Islands,"$3,400 "
190,"Micronesia, Federated States of","$3,400 "
191,Tanzania,"$3,300 "
192,Sao Tome and Principe,"$3,200 "
193,Tajikistan,"$3,100 "
194,Syria,"$2,900 "
195,Vanuatu,"$2,800 "
196,Nepal,"$2,700 "
197,Senegal,"$2,700 "
198,Western Sahara,"$2,500 "
199,Chad,"$2,400 "
200,Uganda,"$2,400 "
201,Zimbabwe,"$2,300 "
202,Yemen,"$2,300 "
203,Mali,"$2,200 "
204,Benin,"$2,200 "
205,Rwanda,"$2,100 "
206,Ethiopia,"$2,100 "
207,Solomon Islands,"$2,100 "
208,Guinea,"$2,000 "
209,Burkina Faso,"$1,900 "
210,Kiribati,"$1,900 "
211,Afghanistan,"$1,900 "
212,Sierra Leone,"$1,800 "
213,Guinea-Bissau,"$1,800 "
214,Haiti,"$1,800 "
215,"Korea, North","$1,700 "
216,"Gambia, The","$1,700 "
217,Togo,"$1,600 "
218,Madagascar,"$1,600 "
219,Comoros,"$1,600 "
220,South Sudan,"$1,500 "
221,Eritrea,"$1,400 "
222,Mozambique,"$1,300 "
223,Niger,"$1,200 "
224,Malawi,"$1,200 "
225,Tokelau,"$1,000 "
226,Liberia,$900 
227,"Congo, Democratic Republic of the",$800 
228,Burundi,$800 
229,Central African Republic,$700 
